"","original_domain","original_phylum","original_class","original_order","original_family","original_genus","original_species","original_lowest","original_taxonomy","domain","phylum","class","order","family","genus","species","lowest","taxonomy"
"MAG100","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",NA,"g__Butyricicoccus","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Butyricicoccus sp004552245","s__Butyricicoccus sp004552245","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus sp004552245"
"MAG101","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115",NA,"g__CAG-115","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","CAG-115 sp945873955","s__CAG-115 sp945873955","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp945873955"
"MAG102","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__","Bacteria","Bacillota_A","Clostridia","TANB77","CAG-508","CAG-269","CAG-269 sp934162535","s__CAG-269 sp934162535","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp934162535"
"MAG103","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495",NA,"g__CAG-495","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__","Bacteria","Pseudomonadota","Alphaproteobacteria","RF32","CAG-239","CAZU01","CAZU01 sp934255405","s__CAZU01 sp934255405","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp934255405"
"MAG104","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter_A","Fibrobacter_A sp002797675","s__Fibrobacter_A sp002797675","d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter_A;s__Fibrobacter_A sp002797675","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Hallerella","Hallerella succinigenes","s__Hallerella succinigenes","d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Hallerella;s__Hallerella succinigenes"
"MAG105","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruthenibacterium",NA,"g__Ruthenibacterium","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruthenibacterium",NA,"g__Ruthenibacterium","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__"
"MAG106","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","CAG-145","CAG-145 sp002320005","s__CAG-145 sp002320005","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-145;s__CAG-145 sp002320005","Bacteria","Bacillota_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Fimisoma","Fimisoma sp002320005","s__Fimisoma sp002320005","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005"
"MAG107","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F",NA,"g__Eubacterium_F","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Eubacterium_F sp022769325","s__Eubacterium_F sp022769325","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp022769325"
"MAG108","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Ruminiclostridium_C",NA,"g__Ruminiclostridium_C","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium_C;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Evtepia sp004551945","s__Evtepia sp004551945","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004551945"
"MAG109","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UBA1206","UBA1206 sp000433115","s__UBA1206 sp000433115","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115","Bacteria","Bacillota_A","Clostridia","Oscillospirales","CAG-382","UBA1206","UBA1206 sp000433115","s__UBA1206 sp000433115","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115"
"MAG110","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","UBA1232",NA,"g__UBA1232","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__UBA1232;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Egerieousia","Egerieousia sp004561775","s__Egerieousia sp004561775","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Egerieousia;s__Egerieousia sp004561775"
"MAG111","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA,NA,"f__Paludibacteraceae","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","W0P28-013","W0P28-013 sp004557405","s__W0P28-013 sp004557405","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__W0P28-013;s__W0P28-013 sp004557405"
"MAG112","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp022775985","s__Prevotella sp022775985","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022775985"
"MAG113","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900544495","s__Prevotella sp900544495","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900544495"
"MAG114","Bacteria","Firmicutes_A","Clostridia","Christensenellales","CAG-138","PeH17","PeH17 sp000435055","s__PeH17 sp000435055","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055","Bacteria","Bacillota_A","Clostridia","Christensenellales","CAG-138","PeH17","PeH17 sp000435055","s__PeH17 sp000435055","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055"
"MAG115","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus_B",NA,"g__Coprococcus_B","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Bariatricus","Bariatricus sp029227655","s__Bariatricus sp029227655","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp029227655"
"MAG116","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,NA,"f__Erysipelotrichaceae","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Floccifex","Floccifex porci","s__Floccifex porci","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Floccifex;s__Floccifex porci"
"MAG117","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA5364",NA,"g__UBA5364","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5364;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAKOQQ01","CAKOQQ01 sp934101425","s__CAKOQQ01 sp934101425","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAKOQQ01;s__CAKOQQ01 sp934101425"
"MAG118","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173_A",NA,"g__UBA7173_A","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173_A;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAJUPY01","CAJUPY01 sp022768005","s__CAJUPY01 sp022768005","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__CAJUPY01 sp022768005"
"MAG119","Bacteria","Firmicutes","Bacilli","RF39","UBA5348","CAG-1193",NA,"g__CAG-1193","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA5348;g__CAG-1193;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-1193","CAG-1193 sp934130375","s__CAG-1193 sp934130375","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1193;s__CAG-1193 sp934130375"
"MAG120","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_F",NA,"g__Treponema_F","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_F;s__","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_F","Treponema_F sp946061495","s__Treponema_F sp946061495","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_F;s__Treponema_F sp946061495"
"MAG121","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","RUG591",NA,"g__RUG591","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__RUG591;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","RUG591","RUG591 sp902797275","s__RUG591 sp902797275","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp902797275"
"MAG122","Bacteria","Firmicutes","Bacilli","RF39","CAG-611",NA,NA,"f__CAG-611","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660",NA,NA,"f__UBA660","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__;s__"
"MAG123","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,"g__Ruminococcus","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,"g__Ruminococcus","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__"
"MAG124","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R",NA,"g__Eubacterium_R","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp945874765","s__Eubacterium_R sp945874765","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945874765"
"MAG125","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp003476825","s__Gemmiger sp003476825","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger qucibialis","s__Gemmiger qucibialis","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis"
"MAG126","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","F23-B02 sp002472405","s__F23-B02 sp002472405","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp002472405","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","F23-B02 sp002472405","s__F23-B02 sp002472405","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp002472405"
"MAG127","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"f__Lachnospiraceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","1XD8-76 sp945949875","s__1XD8-76 sp945949875","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp945949875"
"MAG128","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9",NA,"g__RC9","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546445","s__Cryptobacteroides sp900546445","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900546445"
"MAG129","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp002103105","s__Zag111 sp002103105","d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp002103105","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp002103105","s__Zag111 sp002103105","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp002103105"
"MAG130","Bacteria","Verrucomicrobiota","Kiritimatiellae","RFP12","UBA1067","UBA1731",NA,"g__UBA1731","d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__","Bacteria","Verrucomicrobiota","Kiritimatiellia","RFP12","UBA1067","UBA1731","UBA1731 sp934667425","s__UBA1731 sp934667425","d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__UBA1731;s__UBA1731 sp934667425"
"MAG131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA,"g__Parabacteroides","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp004562445","s__Parabacteroides sp004562445","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp004562445"
"MAG132","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","CAG-822",NA,"g__CAG-822","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__CAG-822;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","Coprosoma","Coprosoma sp934183155","s__Coprosoma sp934183155","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Coprosoma;s__Coprosoma sp934183155"
"MAG133","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,"g__Agathobacter","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,"g__Agathobacter","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__"
"MAG134","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_A",NA,"g__Ruminococcus_A","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Oliverpabstia","Oliverpabstia sp022764165","s__Oliverpabstia sp022764165","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp022764165"
"MAG135","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","992a","992a sp001940245","s__992a sp001940245","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__992a;s__992a sp001940245","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Fimousia","Fimousia sp001940245","s__Fimousia sp001940245","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fimousia;s__Fimousia sp001940245"
"MAG136","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp000432655","s__RC9 sp000432655","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432655","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp000432655","s__Cryptobacteroides sp000432655","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000432655"
"MAG137","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251365","s__Prevotella sp002251365","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251365","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251365","s__Prevotella sp002251365","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251365"
"MAG138","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900547005","s__Prevotella sp900547005","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900547005"
"MAG139","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","s__Fusicatenibacter saccharivorans","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","s__Fusicatenibacter saccharivorans","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans"
"MAG140","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella_E",NA,"g__Olsenella_E","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Paratractidigestivibacter","Paratractidigestivibacter faecalis","s__Paratractidigestivibacter faecalis","d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__Paratractidigestivibacter faecalis"
"MAG141","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877",NA,"g__CAG-877","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","Faecimonas","Faecimonas sp022771205","s__Faecimonas sp022771205","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecimonas;s__Faecimonas sp022771205"
"MAG142","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA,"g__Oscillibacter","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter","Dysosmobacter sp945862785","s__Dysosmobacter sp945862785","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp945862785"
"MAG143","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E bromii_B","s__Ruminococcus_E bromii_B","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E bromii_B","s__Ruminococcus_E bromii_B","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B"
"MAG144","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA,"g__Solobacterium","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia sp905194705","s__Bulleidia sp905194705","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp905194705"
"MAG145","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans","s__Dorea formicigenerans","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans","s__Dorea formicigenerans","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans"
"MAG146","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae",NA,NA,"f__Anaerovoracaceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","RGIG7179","RGIG7179 sp022770665","s__RGIG7179 sp022770665","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7179;s__RGIG7179 sp022770665"
"MAG147","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA,"f__Ruminococcaceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS363","UMGS363 sp945868475","s__UMGS363 sp945868475","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363;s__UMGS363 sp945868475"
"MAG148","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110",NA,"g__CAG-110","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Faecousia","Faecousia sp022774865","s__Faecousia sp022774865","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp022774865"
"MAG149","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","C941",NA,"g__C941","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__C941;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sodaliphilus","Sodaliphilus sp004559845","s__Sodaliphilus sp004559845","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004559845"
"MAG150","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister","Dialister sp000434475","s__Dialister sp000434475","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister","Dialister sp000434475","s__Dialister sp000434475","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475"
